mergedTuple,Entry,KE (MeV),px,py,pz,KE,px,py,pz
79,46,5582.44,408,-417.57,5656.43,261.85,-311.58,556.42,391.3
79,47,3721.24,-238.32,342.96,3801.93,246.45,469.65,-467.53,289.72
79,48,5947.79,18.81,-555.07,6026.34,146.76,134.05,316.75,422.57
79,49,4364.08,-252.43,348.65,4447.06,146.2,8.42,-135.3,526.56
80,2,3011.34,-444.43,316.9,3066.37,137.17,111.77,257.15,444.43
80,3,4603.53,720.55,-69.15,4651.37,235.94,-136.37,407.74,559.87
80,4,2197.03,-512.58,423.16,2201.48,429.36,17.55,616.08,781
80,5,6531.3,402.11,-301.23,6616.42,702.21,-400.22,409.61,1217.58
80,6,3907.04,697.66,-65.69,3948.97,253.21,-521.59,207.43,473.35
80,7,3792.09,-367.96,510.7,3844.48,227.29,0.16,235.86,649.94
80,8,7445.53,456.62,-162.3,7534.23,208.41,-457.17,366.82,301.42
80,9,3151.52,-267.89,371.71,3222.42,207.28,360.26,-435.23,335.57
80,10,2850.02,362.86,468.33,2893.12,306.28,-688.82,-335.26,285.49
80,11,2740,264.85,-520.48,2782.44,194.67,132.03,26.83,620.44
80,13,3303.7,-489.1,336.93,3354.92,225.63,277.34,-447.45,443.91
80,14,198.04,-16.01,-49.5,279.47,262.76,215.36,511.37,504.09
80,15,4964.62,-497.01,-210.83,5039.7,4964.62,-497.01,-210.83,5039.7
80,16,3713.05,481.85,445.99,3759.71,349.12,-595.93,-512.73,398.52
80,17,3012.3,-393.05,364.69,3069.04,125.03,142.66,302.42,372
80,18,4805.31,-299.74,-595.85,4863.66,238.08,167.51,303.19,619.13
80,19,3213.87,-148.43,-418.4,3287.37,170.48,14.58,383.87,448.68
80,20,4772.86,-365.69,-459.15,4841.27,147.27,-8.15,443.34,318.36
80,21,4735.24,381.14,345.5,4811.68,152.72,-412.62,-140.94,345.98
81,0,7327.05,119.14,-749.8,7392.42,321.99,-19.39,692.78,476.89
81,1,3232.35,-432.42,191.44,3302,140.56,461.11,-73.95,255.66
81,2,4337.99,-300.57,-234.47,4425.36,231.04,428.4,-32.87,549.72
81,3,4900,499.16,309.15,4969.34,220.19,-514.31,-313.06,314.71
81,4,4640.53,-67.34,-479.52,4719.6,233.13,70.12,646.62,262.07
81,5,3988.48,217.05,423.37,4064.38,274.9,113.9,-219.57,728.08
81,7,3514.36,-300.07,-485.21,3572.58,343.28,431.66,573.76,496.29
