date,time,LE1,TE1,LE2,TE2,LE3,TE3,LE4,TE4
210622,59218.51684,4,22,0,24,9,22,10,30
210622,59230.22204,29,49,25,50,35,49,33,60
210622,59230.5767,12,31,8,34,16,39,18,37
210622,59241.05667,29,49,27,51,35,48,35,54
210622,59248.17867,15,33,13,31,21,34,20,40
210622,59249.2341,9,23,9,31,15,30,15,37
210622,59250.98847,23,43,20,48,30,44,28,52
210622,59257.37012,21,37,17,38,23,41,25,46
210622,59257.53715,33,48,26,49,36,52,33,60
210622,59271.15131,7,33,5,26,15,35,14,41
210622,59271.94613,30,47,25,46,30,51,37,55
210622,59284.04286,34,52,30,54,35,62,43,56
210622,59285.91051,15,33,14,33,18,44,22,41
210622,59286.56941,20,42,17,37,21,48,30,47
210622,59288.59788,20,37,18,36,27,40,26,44
210622,59300.2488,13,31,12,31,17,40,19,38
210622,59304.83055,8,25,5,28,12,30,14,35
210622,59307.79457,25,45,21,47,31,45,29,52
210622,59311.61317,34,54,29,52,36,60,39,64
210622,59331.48093,13,35,12,36,19,31,22,40
210622,59338.54116,17,35,12,37,20,36,22,43
210622,59341.53027,39,54,31,58,38,62,44,62
210622,59350.16197,10,35,9,37,18,37,19,36
210622,59352.07598,23,44,20,41,29,45,27,51
210622,59358.49488,12,26,5,28,13,32,18,32
210622,59359.38547,18,38,16,36,21,49,24,43
210622,59369.89911,25,43,22,45,30,47,29,53
210622,59371.37294,10,29,7,31,18,27,11,25
210622,59377.96065,9,40,7,39,11,51,14,46
210622,59381.29776,13,37,10,31,19,38,19,45
210622,59381.3636,34,54,29,54,35,58,43,53
210622,59382.48046,16,33,14,33,21,37,26,37
210622,59383.01654,21,44,19,46,26,50,29,48
210622,59392.54534,8,24,3,33,15,30,11,37
210622,59397.76125,20,37,17,41,26,43,22,55
210622,59403.30307,25,41,20,47,29,49,31,52
210622,59410.607,5,24,2,26,10,27,11,30
210622,59422.49963,19,43,18,43,26,46,29,51
210622,59427.38895,7,27,5,31,9,41,12,40
210622,59428.05471,6,29,0,24,10,30,11,33
210622,59428.4654,16,31,14,32,22,36,22,41
210622,59435.86339,30,46,22,52,32,49,33,61
210622,59450.22938,18,52,15,47,25,43,27,47
210622,59454.54266,8,25,5,24,15,26,10,32
210622,59470.37555,4,29,9,19,12,31,15,34
210622,59472.96599,7,-1,5,47,15,38,13,43
210622,59473.3717,13,40,7,53,18,44,17,44
210622,59473.52123,3,26,1,24,8,23,9,30
210622,59476.56542,19,37,16,34,25,37,23,43
210622,59481.54677,14,39,14,33,20,40,22,43
210622,59482.23725,28,45,23,48,31,48,32,53
210622,59484.35993,25,52,29,45,33,48,36,52
210622,59501.77093,19,40,19,37,24,47,27,45
210622,59522.10699,34,52,31,54,38,57,40,59
210622,59531.63418,16,35,16,36,19,39,23,40
210622,59534.45612,23,44,24,44,30,44,30,48
210622,59542.13118,4,-1,1,-1,11,34,11,45
210622,59550.14799,12,33,13,32,18,33,21,38
210622,59552.24295,18,36,18,38,24,38,26,45
210622,59562.56779,3,20,0,22,8,23,10,26
210622,59562.75696,6,26,5,26,13,29,13,29
210622,59570.57099,9,34,10,27,17,34,18,36
210622,59583.68803,27,48,25,47,34,49,34,53
210622,59590.31253,18,47,23,36,24,43,26,45
210622,59598.47379,21,35,18,39,26,44,27,50
210622,59603.74451,16,33,13,35,19,38,21,53
210622,59608.47039,27,44,25,46,32,53,32,60
210622,59624.90846,6,23,1,23,9,26,12,25
210622,59628.1732,35,52,30,58,39,55,40,59
210622,59655.86546,15,31,8,29,17,35,18,36
210622,59666.77545,24,40,19,42,28,45,29,48
210622,59668.38884,31,46,23,57,35,49,37,55
210622,59673.17202,9,24,1,35,13,26,12,33
210622,59679.13662,23,42,19,44,26,44,26,53
210622,59694.14501,31,46,28,51,32,54,38,55
210622,59701.32762,16,-1,16,-1,26,53,32,46
210622,59701.6569,33,48,24,50,38,50,32,59
210622,59711.09026,1,18,1,16,8,18,4,26
210622,59715.45812,14,41,13,33,19,44,22,42
210622,59715.78305,22,46,22,45,27,48,31,50
210622,59722.01825,18,49,16,53,29,-1,32,-1
210622,59736.60706,37,54,30,62,39,55,42,57
210622,59742.1741,27,47,25,46,35,48,35,51
210622,59747.53452,29,45,24,49,34,49,34,57
210622,59769.01558,23,39,20,36,25,40,27,44
210622,59776.40308,7,40,4,36,10,32,17,36
210622,59776.61876,5,26,7,25,13,27,13,31
210622,59785.6936,9,37,6,32,15,26,17,34
210622,59789.72999,22,43,22,42,28,42,28,49
210622,59804.78613,9,42,8,34,18,28,14,39
210622,59807.64869,30,58,32,53,39,57,40,64
210622,59813.2617,11,22,1,32,11,26,13,35
210622,59829.64712,26,47,24,46,32,49,33,52
210622,59841.3092,12,29,9,31,19,31,17,36
210622,59853.34567,15,39,15,36,20,40,26,41
210622,59880.47682,18,34,14,40,19,41,26,39
210622,59882.61057,12,29,10,27,16,36,19,38
210622,59892.22362,22,-1,23,-1,26,49,30,49
210622,59897.70693,10,34,1,49,9,42,11,-1
210622,59900.03699,20,36,14,38,24,40,27,43
210622,59904.85782,28,53,28,50,37,47,36,55
210622,59906.03904,18,33,16,35,22,38,23,42
210622,59908.63796,32,49,26,57,34,50,37,55
210622,59917.87822,7,35,4,33,14,27,13,32
210622,59946.19976,32,49,31,49,32,46,41,53
210622,59958.62545,7,27,5,29,13,27,12,31
210622,59975.77647,33,45,29,48,36,49,35,72
210622,59980.95152,12,29,7,37,18,34,17,38
210622,59995.05367,25,38,19,39,25,44,30,47
210622,59996.42635,25,45,23,51,32,45,32,54
210622,60015.01643,16,57,14,58,33,52,27,59
210622,60016.90151,18,36,14,36,21,38,25,42
210622,60020.65554,18,35,14,29,20,40,22,49
210622,60040.29453,22,38,19,40,28,42,31,44
210622,60041.2499,8,24,1,26,10,30,13,29
210622,60054.10186,13,30,10,29,18,33,18,38
