mergedTuple,Entry,Bg=1,Slice No.,KE (MeV),v/c,px,py,pz,KE,v/c,px,py,pz
77,0,1,,,,,,,,,,,
77,0,,12,"4,834.97",0.999774083,-166.2958463,468.6312332,"4,913.76",165.2118582,0.526387694,-461.0614527,-161.7165171,313.8510938
77,0,1,,,,,,,,,,,
77,0,,10,"6,526.69",0.999874649,0.78908221,-608.389355,"6,602.89",147.3647392,0.503104463,-129.7481704,324.1122449,419.8681724
77,0,1,,,,,,,,,,,
77,0,1,,,,,,,,,,,
77,0,1,,,,,,,,,,,
77,0,,12,"4,632.82",0.99975439,-556.6597813,380.9522572,"4,688.38",130.3105067,0.478620494,-358.4797192,271.3862984,243.4853315
78,0,,4,"3,685.62",0.999616283,-119.3414631,-526.3031369,"3,750.54",232.4446934,0.598122346,-284.0217989,639.5722603,19.38354755
78,1,1,,,,,,,,,,,
78,2,,21,"2,859.57",0.999372574,453.6307559,39.67265,"2,927.50",280.8038138,0.638517814,-673.3237395,70.69859501,383.7650153
78,3,1,,,,,,,,,,,
78,4,,9,"5,974.95",0.999850865,175.7379102,401.5080001,"6,063.23",188.0993319,0.553327459,-354.5160655,-287.7940344,423.9677563
78,5,1,,,,,,,,,,,
78,6,1,,,,,,,,,,,
78,7,1,,,,,,,,,,,
78,8,,5,"3,468.45",0.999568216,419.9060128,125.3685693,"3,544.92",258.1143986,0.620500657,-436.428073,61.7045524,597.1337704
78,9,1,,,,,,,,,,,
78,10,,4,"4,748.23",0.999765935,-374.3035848,-98.19081659,"4,836.64",218.0748629,0.584538267,545.9729122,166.533201,361.7255323
78,11,,5,"5,616.13",0.999831569,136.5915162,435.7786402,"5,701.91",134.6962466,0.485147971,-235.4856178,36.73505958,462.6340851
78,12,1,,,,,,,,,,,
78,13,1,,,,,,,,,,,
78,14,,3,"4,743.10",0.999765439,-461.3603895,-71.77520189,"4,824.42",304.7821169,0.656003088,315.6176377,-82.80357571,747.1227909
78,15,,4,"4,023.53",0.999676535,-194.4755554,452.1154699,"4,097.75",148.0001712,0.503972092,232.0654326,-431.4438885,244.037247
78,16,,5,"5,890.70",0.999846643,709.5868726,28.93188985,"5,952.56",305.9043573,0.656785713,-670.7174445,-75.855052,460.2588087
78,17,1,,,,,,,,,,,
78,18,1,,,,,,,,,,,
78,19,,3,"6,346.25",0.999867539,512.3659369,316.9910865,"6,422.20",279.26,0.64,-621.9751418,-357.6379503,295.1455564
79,0,,9,"4,374.83",0.999725284,-400.0264852,303.8450866,"4,450.34",339.1596202,0.678671175,742.1536034,62.99599254,443.3195568
79,1,,15,6377.269575,0.999868803,-258.5236848,394.6922011,6464.222877,162.5268257,0.523022183,308.6045712,-354.6127002,332.1571096
79,2,1,,,,,,,,,,,
79,3,,10,"5,247.57",0.999807574,-202.0053391,-520.0404161,"5,322.38",379.18,0.702049454,119.5359375,657.1469729,639.52
79,4,,5,"3,964.92",0.99966715,-499.2616109,-179.3878386,"4,033.83",280.05,0.637940141,506.3266048,339.012058,482.18
